19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 21 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 22，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 22 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 22 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 23，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 23 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 23 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 24，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 24 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 24 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 25，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 25 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 25 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 26，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 26 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 26 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 27，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 27 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 27 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 28，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 28 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 28 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 29，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 29 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 29 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 30，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 30 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 30 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 31，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 31 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 31 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 32，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 32 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 32 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 33，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 33 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 33 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 34，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 34 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 34 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 35，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 35 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 35 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 36，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 36 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 36 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 37，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 37 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 37 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 38，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 38 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 38 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 39，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 39 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 39 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 40，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 40 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 40 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 41，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 41 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 41 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 42，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 42 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 42 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 43，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 43 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 43 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 44，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 44 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 44 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 45，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 45 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 45 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 46，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 46 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 46 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 47，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 47 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 47 拼接成功，已更新最新帧数据
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:151 | 接收新帧 48，总长度 22500 字节
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:105 | 帧 48 已接收完整，尝试拼接
19:23:31 | INFO     | UDPReceiver | udp_receiver.py:115 | 帧 48 拼接成功，已更新最新帧数据
