21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:44 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:45 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:45 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:45 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:45 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:45 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:45 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:45 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:45 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:45 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
21:17:45 | INFO     | MainApp | app.py:28 | 成功获取并编码一帧视频数据，正在发送...
