16:11:58 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 20，当前帧 19 已完成接收，尝试拼接上一帧
16:11:58 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 19 已接收完整，尝试拼接
16:11:58 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 19 拼接成功，已更新最新帧数据
16:11:58 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 20，总长度 22500 字节
16:12:00 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 20 已接收完整，尝试拼接
16:12:00 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 20 拼接成功，已更新最新帧数据
16:12:00 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 20 已成功拼接，准备显示
16:12:00 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 21，当前帧 20 已完成接收，尝试拼接上一帧
16:12:00 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 20 已接收完整，尝试拼接
16:12:00 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 20 拼接成功，已更新最新帧数据
16:12:00 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 21，总长度 22500 字节
16:12:02 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 21 已接收完整，尝试拼接
16:12:02 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 21 拼接成功，已更新最新帧数据
16:12:02 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 21 已成功拼接，准备显示
16:12:02 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 22，当前帧 21 已完成接收，尝试拼接上一帧
16:12:02 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 21 已接收完整，尝试拼接
16:12:02 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 21 拼接成功，已更新最新帧数据
16:12:02 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 22，总长度 22500 字节
16:12:04 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 22 已接收完整，尝试拼接
16:12:04 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 22 拼接成功，已更新最新帧数据
16:12:04 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 22 已成功拼接，准备显示
16:12:04 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 23，当前帧 22 已完成接收，尝试拼接上一帧
16:12:04 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 22 已接收完整，尝试拼接
16:12:04 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 22 拼接成功，已更新最新帧数据
16:12:04 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 23，总长度 22500 字节
16:12:05 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 23 已接收完整，尝试拼接
16:12:05 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 23 拼接成功，已更新最新帧数据
16:12:05 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 23 已成功拼接，准备显示
16:12:05 | INFO     | UDPReceiver | rm_logger.py:154 | 接收到新帧 24，当前帧 23 已完成接收，尝试拼接上一帧
16:12:05 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 23 已接收完整，尝试拼接
16:12:05 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 23 拼接成功，已更新最新帧数据
16:12:05 | INFO     | UDPReceiver | rm_logger.py:154 | 接收新帧 24，总长度 22500 字节
16:12:07 | INFO     | UDPReceiver | rm_logger.py:154 | 帧 24 已接收完整，尝试拼接
