21:17:38 | INFO     | CoreService | core_service.py:58 | 1
21:17:38 | INFO     | CoreService | core_service.py:62 | 检测到吊射模式，启用MQTT图传数据源
21:17:39 | INFO     | CoreService | core_service.py:58 | 1
21:17:40 | INFO     | CoreService | core_service.py:58 | 1
21:17:41 | INFO     | CoreService | core_service.py:58 | 1
21:17:42 | INFO     | CoreService | core_service.py:58 | 1
21:17:43 | INFO     | CoreService | core_service.py:58 | 1
21:17:44 | INFO     | CoreService | core_service.py:58 | 1
21:17:45 | INFO     | CoreService | core_service.py:58 | 1
21:17:46 | INFO     | CoreService | core_service.py:58 | 1
21:17:47 | INFO     | CoreService | core_service.py:58 | 1
21:17:48 | INFO     | CoreService | core_service.py:58 | 1
21:17:50 | INFO     | CoreService | core_service.py:58 | 1
